
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item Spreadsheet]

April 2020 through March 2020
21/03/2020	Page 1
7:05:24 am
Item No.	Item Name	April	May	June	July	August	September	October	November	December	January	February	March	Total
FDKBCHSP	CSO Waterproof CHSP Checker 13	0	2,000	0	0	0	0	0	0	0	0	0	0	2,000
FDKBCIBL	CSO Waterproof BL Circles 13cm	0	0	0	2,000	0	0	0	0	0	0	0	0	2,000
FDKBCICE	CSO Waterproof CE Circles 13cm	0	0	0	2,000	0	0	0	0	0	0	0	0	2,000
FDKBDF	CSO Waterproof Dragon Flies 13	0	0	0	0	4,600	0	0	0	0	0	0	0	4,600
FDKBFLA	CSO Waterproof FLA Flamingo 13	4,000	0	0	0	0	0	0	0	0	0	0	0	4,000
FDKBFLCO	CSO Waterproof Flowers 13cm x	0	0	0	0	0	4,000	0	0	0	0	0	0	4,000
FDKBGFCE	CSO Waterproof GFCE Geo Flower	0	0	0	3,600	0	0	0	0	0	0	0	0	3,600
FDKBGFOR	CSO Waterproof GFOR Geo Flower	0	0	0	3,600	0	0	0	0	0	0	0	0	3,600
FDKBPRO	CSO Waterproof PRO Pink Rose 1	3,000	0	0	0	0	0	0	0	0	0	0	0	3,000
FDKBSB	CSO Waterproof Strawberries 13	0	0	0	0	0	0	0	3,000	0	0	0	0	3,000
FDKBSLBL	CSO Waterproof SLBL Sealife 13	2,000	0	0	0	0	0	0	0	0	0	0	0	2,000
FDKBSLSP	CSO Waterproof SLSP Sealife 13	2,000	0	0	0	0	0	0	0	0	0	0	0	2,000
FDKBTOU	CSO Waterproof TOU Toucan 13cm	0	0	3,000	0	0	0	0	0	0	0	0	0	3,000
FDKBWSOR	CSO Waterproof WSOP Stripe 13c	0	0	3,600	0	0	0	0	0	0	0	0	0	3,600
FDKBWSPU	CSO Waterproof WSPU Stripe 13c	0	0	3,000	0	0	0	0	0	0	0	0	0	3,000
FDKBZZRE	CSO Waterproof ZZRE Zigzag 13c	0	0	0	0	0	0	0	4,000	0	0	0	0	4,000
FDRV1	Rose Vase 4 Colours 12x24cmH	0	27	0	0	0	0	0	0	0	0	0	0	27
FDSLXM	FD Xmas Sleeve 50cmx45cmx15cm	0	0	0	0	0	0	0	141	0	0	0	0	141
FDXMCR	CSO FDXM Bucket Cr 12cmT 9.5cm	0	1,008	0	0	0	0	0	0	0	0	0	0	1,008
FDXMPP	CSO FDXM Bucket PP 12cmT 9.5cm	0	0	0	0	0	2,016	0	0	0	0	0	0	2,016
FDXMSI	CSO FDXM Bucket SI 12cmT 9.5cm	0	1,008	0	0	0	0	0	0	2,016	0	0	0	3,024
FDXMWH	CSO FDXM Bucket Wh 12cmT 9.5cm	1,008	0	0	0	2,016	0	0	0	0	2,016	0	0	5,040
FF34	Flower Frog 3.5x3.5x2cm	0	0	0	0	0	0	0	2	6	3	4	0	15
FF40	Flower Frog 4.3x4.3x2cm	0	0	0	0	0	0	0	1	3	3	11	2	20
FF50	Flower Frog 5.3x5.3x2.2cm	0	0	0	0	0	0	0	1	0	6	5	1	13
FF60	Flower Frog 6.1x6.1x2.2cm	0	0	0	0	0	0	0	1	0	2	0	0	3
FFNAUR	FF N/Wov 50m Aubergine	0	0	0	0	1	1	1	5	2	0	0	0	10
FFNAUS	FF N/Wov 100sh Aubergine 60 x	0	0	0	0	0	1	0	0	0	0	0	0	1
FFNBKR	Non Woven Vilene Black Roll	2	0	1	1	1	3	0	1	1	0	0	0	10
FFNBKS	Non Woven Vilene Black Sheets	0	2	0	0	0	1	0	0	0	0	0	0	3
FFNBPR	FF N/Wov 50m Bpink 60cm x 50m	1	1	2	4	0	0	0	0	0	0	0	0	8
FFNHPR	FF N/Wov 50m Hpink 60cm x 50m	0	0	0	0	0	1	1	5	2	0	0	0	9
