TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item]

March 2020
6/04/2020,Page 1
10:00:24 am
Item No.,Units Sold

466109CHC,4
46685CO,42
46685RGO,53
46687,10
47043BU,2
47043HP,3
47043LPK,13
47043WH,5
47044COR,3
47044DR,21
47072,3
4710012CHP,14
4710057WH,3
4710059GR,7
4710059HP,5
471006,35
4710066COR,2
4710066DPK,3
4710084COR,4
4710084DR,1
4710097PK,6
4710097RD,1
4710097WH,3
47596PK,1
47762BL,5
47762CBL,5
478114PK,1
478114WH,1
478119PK,10
478119WH,20
478133GR,1
478142GR,6
478158WI,16
478160GR,7
478160PU,12
478161WI,7
47822,6
47838,24
47843GRY,2
47882,10
47885,31
479150,6
479151,6
479152,6
479154,13
479164,10
479181RD,1
479181WH,6
47937FU,3
47981PU,4
47981RD,8
48005011,1
48005028,2
48010018,2
5001011GRY,3
5001025BP,2
5001025HP,2
5001025LA,2
5001025MO,2
5001025WH,2
5101050CL,3
5101051CL,35
5101057CL,1
5101058CL,2
51080022GRY,1
51080022HPK,2
51080022LGY,2
51080022WH,1
51110024,0
51110037,7
51110048,5
51110054,3
51110055,2
51110056,3
51110057,1
51110059,1
5115,7
5116,1
5132,5
530003HPS,1
530003LGS,1
530003VIR,1
530003WHS,1
530027BP,3
530030WH,1
530043BLK,1
530044GRY,2
530045WH,1
530051MO,2
530060WH,1
540021GO,14
5637C50LAV,2
570123BP,2
570123HP,3
570123RD,2
570123SI,2
570123VI,1
570123WH,2
591014,3
5980,1
60053,2
61-1560A,1
6510002,2
6510004,2
6603A,1
6605A,25
6608A,1
6616A,4
6622A,22
6624A,16
6631/16,2
6654ST,1
6715,1
70295,11
8040VI,1
814163,5
814164,5
814179,2
814216,4
814423,2
814482,1
814613,1
814870,4
823020,7
824003,8
824005,11
824026,6
824101,1
824179,26
824413,56
824617,10
844179,15
906BK,7
912801,-2
912802,1
912808,-1
92SBP,1
92SGO,1
92SHP,1
92SOR,2
92SRE,1
92SVI,1
92SWH,2
ACDS4,2
AR46,5
AR50,3
AR55,12
AR58,5
AR75,5
AR84,22
AR85,52
AR86,111
AR87,26
AR88,3
AR89,81
AR90,13
AR91,51
AR92,15
AR93,22
B1738,176
B1739,26
B5GR,25
BALBBK,27
BALBWH,21
BALST,1
BALW,2
BAS102,14
BAS103,2
BAS104,24
BAS107,17
BAS108,72
BAS206,19
BAS208,2
BAS209,13
BAS215,14
BAS302,1
BAS307,20
BAS329,3
BAS333S,3
BAS335,6
BAS336,6
BAS337,40
BAS338,2
BAS339,33
BCI,30
BCI6,20
BETMHP,3
BF33,3
BF34,2
BF35,1
BF37,1
BF38,17
BG6,39
BG6O,91
BGE,30
BGS,31
BGSQ.BK,38
BHBK,6
BHBR,4
BHWH,1
BMIX,12
BNUT,12
BOX3,1
BSMCR,1
BSMPU,3
BSMYE,1
BSTNC-498,"3,000"
BSTNC-598,500
BSTR,20
BUBMBK,3
BUBMHP,9
BUBMLI,5
BUBMOR,1
BUBMPU,9
BUBMRE,5
BUBMYE,2
C1C4,1
C30,155
C5060C4,1
C50C,1
C50C3150,1
C50C330,14
C60C,15
C60C4,1
C70C3,2
C70C4,1
CA40.003,2
CA40.029,4
CA40.043,4
CA40.047,1
CA40.053,7
CA40.082,7
CA40.105,2
CA40.119,7
CA40.120,7
CA40.176,5
CA40.214,1
CA40.301,3
CA40.303,2
CA40.304,6
CA40.312,2
CA40.316,1
