
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item Spreadsheet]

April 2019 through March 2020
17/04/2020,Page 1
10:37:51 am
Item No.,Item Name,April,May,June,July,August,September,October,November,December,January,February,March,Total
SP023,SPRING DECO SPRAY CHARCOAL,0,0,0,0,0,0,2,0,0,0,0,0,2
SP026,SPRING DECO SPRAY 400ML PURPLE,0,1,2,0,2,1,1,1,0,0,1,0,9
SP032,SPRING DECO SPRAY 400ML BRASS,0,0,2,0,2,2,1,2,0,1,0,0,10
SP034,SPRING DECO SPRAY 400ML ORANGE,0,0,0,0,0,0,0,3,1,0,0,0,4
SP038,SPRING DECO SPRAY DEEP PURPLE,0,0,2,0,3,1,1,1,0,0,1,0,9
SP049,SPRING DECO SPRAY 400ML RED,0,0,2,0,1,1,0,4,0,0,0,0,8
SP051,SPRING DECO SPRAY BURGUNDY RED,0,0,1,3,2,4,5,0,0,2,0,0,17
SP058,SPRING DECO SPRAY CHAMPAGNE,0,0,0,0,3,2,0,4,0,0,0,0,9
SP080,SPRING DECO SPRAY 400ML YELLOW,0,0,0,1,0,0,0,4,0,0,1,0,6
SP082,SPRING DECO SPRAY LIGHT YELLOW,0,0,0,0,0,0,0,2,0,0,1,0,3
SP083,SPRING DECO SPRAY GARDENIA,0,0,0,0,1,4,0,3,0,1,1,1,11
SP085,SPRING DECO SPRAY ANTIQUE GOLD,0,3,2,0,4,5,3,5,0,0,1,1,24
SP090,SPRING DECO SPRAY 400ML PEARL,0,0,2,0,2,0,0,1,0,0,2,0,7
SP10474,SPRING CLEAR CUT FLOWER FOOD,0,0,0,0,0,0,2,0,3,0,9,0,14
SP10510,SPRING CUT FLOWER FOOD PK/1000,6,1,1,5,5,3,9,14,8,9,9,9,79
SP10524,SPRING CUT FLOWER FOOD 2KG,0,2,0,0,1,5,1,2,0,0,1,2,14
SP10525,SPRING CUT FLOWER FOOD 5KG,3,1,0,1,2,1,1,1,1,3,4,2,20
SP10527,SPRING CUT FLOWER FOOD 15KG,0,0,0,0,0,2,0,1,1,0,0,0,4
SP108,Spray Bottle 1000ml,0,0,0,0,0,0,0,0,0,0,0,0,0
SP11001,FLORIST CRAFT SPRAY GOLD,4,1,7,0,5,3,5,21,5,3,2,2,58
SP11011,FLORIST CRAFT SPRAY SILVER,1,3,4,3,5,5,5,8,4,0,0,2,40
SP11041,FLORIST SPRAY GLITTER GOLD,4,5,1,4,2,3,2,16,5,4,8,0,54
SP11042,FLORIST SPRAY GLITTER SILVER,5,3,0,5,3,4,3,21,7,2,6,0,59
SP11080,Flower Fragrance 400ml,1,0,0,2,0,1,0,1,0,0,0,0,5
SP11836,SPRING LEAFSHINE 250 ML.,0,0,0,0,0,30,2,10,0,14,2,0,58
SP19.6MM,Staples for SP3 Stapler PK5000,28,16,5,11,17,10,18,18,0,9,0,26,158
SP206,Spray Bottle 500ML,0,0,4,8,5,6,5,19,5,2,1,10,65
SP3,Maxwell Hand Plier Stapler,2,0,0,1,2,2,1,3,0,3,0,1,15
SP4,Cello Corsage Box Sq,0,0,0,0,0,0,0,0,0,0,0,0,0
SPA056,Spray Adhesive 150ml,0,0,0,0,3,0,1,2,0,1,0,0,7
SPEDS1,Pedro Sheep Sitting 21cm,0,0,0,2,0,1,0,7,0,0,0,0,10
SPIP,Pippin Kiwi 23cm,0,0,0,0,0,0,57,3,4,8,32,8,112
SPY1614,Pyramid Vase. T9.5 B9.5 H16.5,0,0,0,0,0,0,0,0,0,0,0,0,0
SPY1816,Glass Pyramid Vase 18.5cmH,0,0,6,12,0,24,22,6,54,68,0,0,192
Squirt,Squirt 23cm,0,0,0,0,0,"1,008",0,0,0,0,0,0,"1,008"
SRAM,Ramsay Sheep 17cmH 22cmL,0,0,0,0,0,0,32,49,29,40,51,2,203
SREBFS,Silk Butterfly NW Red Sheets,0,0,0,0,0,0,0,0,0,0,0,0,0
SREK1,Real Kiwi,0,0,0,0,0,0,12,18,0,33,9,0,72
SREK2,Real Kiwi 12cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SREK3,Real Kiwi 15cm,3,9,6,3,0,10,1,4,0,7,9,0,52
SREPDR,Silk NW Red Roll 60cm x 25m,0,0,0,0,0,0,0,0,0,0,0,0,0
SREPDS,Silk NW Red Sheets. 50cm x 60c,0,0,0,0,0,0,0,0,0,0,0,0,0
SRER,Silk NW Red Roll 60cm x 25m,0,0,0,0,0,0,0,0,0,0,0,0,0
SREROR,Silk NW Red Roll 47cm x 25m,0,0,0,0,0,0,0,0,0,0,0,0,0
SRES,Silk NW Red Sheets. 50cm x 60c,0,0,0,0,0,0,0,0,0,0,0,0,0
SRESWS,Silk NW Red Sheets. 50cm x 60c,0,0,0,0,0,0,0,0,0,0,0,0,0
SROCL1,Rocky Lying Sheep 18cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SROCL2,Rocky Lying Sheep 25cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SROCS1,Rocky Sitting Sheep 18cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SROCS2,Rocky Sitting Sheep 24cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPBFS,Silk Butterfly NW Rose Sheets,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPPDR,Silk NW Rose Pink Roll 60cm x,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPPDS,Silk NW Rose Pink Sheets. 50cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPR,Silk NW Rose Pink Roll 60cm x,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPROR,Silk NW Rose Pink Roll 47cm x,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPS,Silk NW Rose Pink Sheets. 50cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPSWS,Silk Swirl NW Rose Pink Sheets,0,0,0,0,0,0,0,0,0,0,0,0,0
SSEY1,Seymour Sheep 18cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SSEY2,Seymour Sheep 22cm,0,0,0,0,0,0,0,0,0,0,0,0,0
SSQ2010,Square Vase. T10 B10 H20 Max 1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSR,Floralife Sure Stik Roll 25ft,1,0,0,1,0,0,0,1,2,0,0,1,6
SST1,Speed Straw Green 200g Roll,6,21,5,7,9,6,19,13,4,10,17,4,121
SST2,Speed Straw White 200g Roll,6,1,1,4,5,10,1,3,4,9,5,8,57
