
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Inventory [Summary]
16/04/2020,Page 1
4:06:25 pm
Item No.,Item Name,On Hand,Committed,On Order,Available
124100,9in Happy Birthday Rose Gold,588,6,0,582
124101,9in Congratulations 3-D Stars,327,0,0,327
124108,9in Happy Birthday Gifts,239,0,0,239
124109,9in Happy Birthday Outer Space,230,0,0,230
124132,You're How Old Balloons,34,0,0,34
124133,HBD Party Elephant Balloon,147,0,0,147
124137,HBD Sparkling Candles Balloon,286,1,0,285
124161,9in Happy Easter 3 bunnies,100,0,0,100
124162,9in Get Well Bandaids Balloon,223,0,0,223
124177,9in HMD Butterflies & Stripes,207,0,0,207
124185,9in Happy Birthday Treat,"1,545",1,0,"1,544"
124186,9in Festive Birthday Blue,187,0,0,187
124196,9in BIRTHDAY HEARTS & SWIRLS,353,0,0,353
124198,9in Birthday Wish Emoticons,34,0,0,34
124199,9in Happy Bday Bunch Balloons,6,1,0,5
124211,9in BIG BIRTHDAY BALLOONS,284,0,0,284
124276,9in Birthday Black Balloon,233,0,0,233
124286,9in WELCOME HOME BALLOON,217,0,0,217
124289,9in IT'S A GIRL MOON & STARS,508,0,0,508
124290,9in IT'S A BOY MOON & STARS,288,0,0,288
124343,9in GET WELL SOON SMILEY,423,0,0,423
124344V,9in Smiling Santa Self Inflate,56,0,0,56
124366,9in Colorful Streamers Bday,508,0,0,508
124371,9in Grad Confetti Triangle,200,0,0,200
124380V,9in Get Well Colourful Bandaid,87,0,0,87
124381V,9in Get Well Soon Silver Burst,52,0,0,52
124414V,9in Yellow Smiley Face,75,0,0,75
124485,9in World's Greatest Dad,184,0,0,184
124491,9in Happy Birthday Star Burst,202,0,0,202
124497,9in Birthday Princess Balloon,191,0,0,191
124499,9in Baby Girl Bottles Balloon,360,0,0,360
124502,9in YSS Hearts & Swirls,321,0,0,321
124503,9in Baby Boy Bottles Balloon,867,0,0,867
124504,9in Baby Girl Footsies Balloon,384,2,0,382
124505,9in Baby Boy Footsies Balloon,276,2,0,274
124506,9in Happy Easter Round Balloon,111,0,0,111
124507V,9in Baby Girl Bottles Balloon,96,0,0,96
124508V,9in Baby Boy Bottles Balloon,94,0,0,94
124509V,9in It's a Boy Stork Balloon,66,0,0,66
124510V,9in It's a Girl Stork Balloon,73,0,0,73
124511V,9in Thinking of You Sun & Star,47,0,0,47
124542V,9in Happy Birthday Glitters,108,0,0,108
124543,9in Congrats Stars Balloon,170,0,0,170
124544,9in Get Well Colourful Burst,298,0,0,298
124547,9in Get Well Dots & Swirls,577,0,0,577
124557,9in Get Well Nurse Bear,41,0,0,41
124563,9in Baby Boy Patchwork Balloon,55,0,0,55
124608,9in HBD PARTY HAT & HORN,"1,839",0,0,"1,839"
124610,9in GET WELL COLOURFUL TYPE,"1,034",0,0,"1,034"
124667,9in THANK YOU BURST BALLOON,178,0,0,178
124719,9in Happy Birthday Confetti,316,1,0,315
124861,9in Happy Bday Balloon Release,415,0,0,415
124862,9in Monkey Around Birthday,305,0,0,305
125032,9in Get Well Party Balloons,135,0,0,135
125556,9in Baby Balloon,227,6,0,221
125557,9in Birthday Balloons Red,197,0,0,197
126489.48,Corsage Pearl Bracelet Ivory,278,0,0,278
126489.93,Corsage Pearl Bracelet White,604,0,0,604
126496,Corsage Diamante Bracelet,37,0,0,37
12682IV,Corsage Pearl Bracelet Ivory,159,0,0,159
12682PE,Corsage Pearl Bracelet White,101,0,0,101
12914SI,Diamante Mesh Roll Silver,6,0,0,6
13020.69,Vase Concaved Sided Frost,27,0,0,27
13025CL,Hurricane Glass Jar w/Jute,90,0,0,90
13029CL,Hurricane Jar Clear Large,143,0,0,143
13042,Posie Glass Vase 15x15x12.5,16,0,0,16
13060CL,Glass Ginger Vase 14x24cm Cl,311,0,0,311
13062CL,Glass Country Ginger Vase Line,17,0,0,17
131137GR,Mason Jar Mint Green,39,0,0,39
131137GY,Mason Jar Grey,61,0,0,61
131137WH,Mason Jar White,60,0,0,60
131139GY,Cube Village Collection Grey,34,0,0,34
131139WH,Glass Cube White 12x12x12cmH,34,0,0,34
131149CL,Philo Leaf Posy Vase Clear,69,1,0,68
131151CL,Glass Leaf Cylinder Clear,418,0,0,418
1312049CL,Bernice Vase Conical Clear,151,0,0,151
1312053BK,Geometric Terrarium Pyramid,36,0,0,36
1312054BK,Terrarium Pyramid Black,46,0,0,46
1312059CL,Bernice Vase Conical Clear,112,0,0,112
1312081CL,Angela Vase Clear,88,0,0,88
1312085SMO,Glass Harper Squat Dome Vase L,11,2,0,9
1312086CL,Ann Bottle Large Clear,97,0,0,97
1312088CL,Glass Ann Posy Bottle Clear (1,123,0,0,123
1312088SGR,Ann Posy Bottle Spanish Green,216,12,0,204
1312089CL,Venessa Bottle Clear,96,0,0,96
1312091CL,Isabella Cylinder Vase Clear,11,2,0,9
1312092CL,Glass Angelina Fish Bowl Clear,15,0,0,15
1312095CL,Yvonne Cylinder Vase Clear,44,0,0,44
1312098CL,Angela Vase Clear (11.5x20cmH),69,0,0,69
1312122CL,Shirley Vase 14Dx14cmH,33,0,0,33
1312123CL,Claire Vase 11.5Dx26.5cmH,54,0,0,54
1312124CL,Harlow Vase Clear 11Dx16cmH,77,0,0,77
1312126GRY,Fresh Cut Grey Jar,65,0,0,65
1312126LG,Fresh Cut Light Green Jar,89,0,0,89
1312126PK,Fresh Cut Pink Jar,95,6,0,89
1312126WH,Fresh Cut White Jar,87,0,0,87
1312132CL,Glass Fish Bowl 10Dx14.5cmH,24,0,0,24
1317,Glass Marbles 13mm 500pc Clear,23,0,0,23
134803,24in Baby Boy Clouds Clear,15,0,0,15
134804,24in Baby Girl Clouds Clear,5,0,0,5
134805,24in Feel Better Fish Clear,11,0,0,11
134806,24in GW Birds & Butterflies,1,0,0,1
136017CL,Glass Squat Dome Vase Clear,25,0,0,25
137-06-04,Holly Chapple Abby Compote,23,0,0,23
137-06-09,Holly Chapple Abby Compote Clr,65,0,0,65
137-06-22,Holly Chapple Abby Compote,29,0,0,29
1414BK,Plastic Posie Box Black,148,0,0,148
1414PI,Plastic Posie Box Pink,22,0,0,22
144001,4.5in Blowing Kiss Face,158,0,0,158
144002,4.5in Smile Wink and Tongue,84,0,0,84
144003,4.5in Smile Heart Shape Eyes,133,0,0,133
144004,4.5in Emoticon Smile Sunglasse,104,0,0,104
144005,4.5in Balloon It's Your Day!,108,0,0,108
144054,4.5in SMILEY FACE BALLOON,185,0,0,185
144162,4.5in Get Well Bandaids,68,0,0,68
144289,4.5in ITS A GIRL BALLOON,107,0,0,107
144290,4.5in IT'S A BOY BALLOON,128,0,0,128
144366,4.5in HBD COLOURFUL STREAMERS,229,0,0,229
144608,4.5in HBD PARTY HAT & HORN,219,0,0,219
144610,4.5in GET WELL SOON COLOUR,51,0,0,51
144861,4.5in HBD Balloon Release,200,0,0,200
144862,4.5in Birthday Monkey Around,74,0,0,74
149355BLU,Posy Box Mini Blush 12cmH,375,0,0,375
149355CH,Posy Box Mini Charcoal 12cmH,178,0,0,178
149355COOL,PosyBox Mini Sunrise MIX Pk/24,20,0,0,20
149355DP,Posy Box Mini Dusty Pink 12cmH,388,0,0,388
149355FO,Posy Box Mini Fog 13x12cmH,195,0,0,195
149355PST,Posy Box Mini Pistacchio 12cmH,173,0,0,173
149355RTP,Posy Box Mini Rose Taupe 12cmH,380,0,0,380
149355WARM,Posy Box Mini Dawn MIX Pk/24,30,0,0,30
14935MCR,Posy Box Mini Kraft 13x12cmH,"1,432",0,0,"1,432"
14935SAU,Posie Box Mini Aubergine,473,6,0,467
14935SBB,Posie Box Mini Baby Blue,473,0,0,473
14935SBK,Posie Box Mini Black 13x12cmH,"1,078",0,0,"1,078"
14935SBP,Posie Box Mini Baby Pink,"1,348",10,0,"1,338"
14935SBU,Posie Box Mini Burgundy,373,6,0,367
14935SCB,Posie Box Mini Cobalt Blue,335,0,0,335
14935SCH,Posie Box Mini Chocolate,127,0,0,127
14935SGO,Posie Box Mini Gold 13x12cmH,453,0,0,453
14935SHG,Posie Box Mini Hunter Green,465,0,0,465
14935SHP,Posie Box Mini Hot Pink,"1,194",10,0,"1,184"
14935SIV,Posie Box Mini Ivory 13x12cmH,483,0,0,483
14935SLA,Posie Box Mini Lavender,738,10,0,728
14935SLG,Posie Box Mini Lime Green,842,0,0,842
14935SMO,Posie Box Mini Moss 13x12cmH,766,0,0,766
14935SOR,Posie Box Mini Orange 13x12cmH,"1,144",10,0,"1,134"
14935SRE,Posie Box Mini Red 13x12cmH,"1,235",10,0,"1,225"
14935SSI,Posie Box Mini Silver 13x12cmH,491,0,0,491
14935SVI,Posie Box Mini Violet 13x12cmH,"1,591",10,0,"1,581"
14935SWH,Posie Box Mini White 13x12cmH,"1,118",20,"4,800","5,898"
14935SYE,Posie Box Mini Yellow 13x12cmH,"1,620",3,0,"1,617"
14937MCR,Posy Box Large Matte Kraft,219,0,0,219
14937SAU,Posie Box Large Aubergine,82,0,0,82
14937SBB,Posie Box Large Baby Blue,206,0,0,206
14937SBK,Posie Box Large Black 22x14cmH,306,0,0,306
14937SBP,Posie Box Large Baby Pink,310,0,0,310
14937SBU,Posie Box Large Burgundy,115,0,0,115
14937SCB,Posie Box Large Cobalt Blue,99,0,0,99
14937SCH,Posie Box Large Chocolate,119,0,0,119
14937SGO,Posie Box Large Gold 22x14cmH,170,0,0,170
14937SHG,Posie Box Large Hunter Green,177,0,0,177
14937SHP,Posie Box Large Hot Pink,182,0,0,182
14937SIV,Posie Box Large Ivory 22x14cmH,104,0,0,104
14937SLA,Posie Box Large Lavender,192,0,0,192
14937SLG,Posie Box Large Lime Green,107,0,0,107
14937SMO,Posie Box Large Moss 22x14cmH,238,0,0,238
14937SOR,Posie Box Large Orange,205,0,0,205
14937SRE,Posie Box Large Red 22x14cmH,141,0,0,141
14937SSI,Posie Box Large Silver,173,0,0,173
14937SVI,Posie Box Large Violet,158,0,0,158
14937SWH,Posie Box Large White 22x14cmH,"2,053",0,0,"2,053"
14937SYE,Posie Box Large Yellow,113,0,0,113
1493L103SWH,Posy Box & Lid Large White,248,0,0,248
1494136,Sleeve 50pc Blomma Pink,11,0,0,11
14960SBB,Posy Box Mini Congrat Blue,133,0,0,133
14965SRE,Mini Posy Box Red Stripe,9,0,0,9
14976SLA,Posie Box Mini Dots Lavender,155,0,0,155
14976SMI,Posie Box Mini Dots Mint,6,0,0,6
14987BB,Posie Box No. 6 Baby Blue,185,0,0,185
14987BK,Posie Box No. 6 Black 16x12cmH,"1,031",0,0,"1,031"
14987BP,Posie Box No. 6 Baby Pink,542,0,0,542
14987GO,Posie Box No. 6 Gold 16x12cmH,121,0,0,121
14987HP,Posie Box No. 6 Hot Pink,563,0,0,563
