
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Inventory [Summary]
29/04/2020,Page 1
2:08:24 pm
Item No.,Item Name,On Hand,Committed,On Order,Available
114865,18in Get Well Soon Squares,0,0,0,0
114866,18in Its A Boy Stars & Circles,0,0,0,0
114867,18in Its A Boy Bears & Bunnies,1,0,0,1
114869,17in I'm So Sorry Balloon,2,0,0,2
115033,17in Zoo Baby Girl Balloon,0,0,0,0
115034,17in Zoo Baby Boy,0,0,0,0
115556,18in BABY BALLOONS,10,0,0,10
115557,17in Balloon Type HBday,0,0,0,0
116289,17in Congrats Champagne,0,0,0,0
117400,17in Birthday Petals Clear,19,0,0,19
117407,17in HBD Glitter Font Balloon,27,0,0,27
117408,17in Happy Birthday Tropical,41,4,0,37
117416,17in HBD Glitter Dots Balloon,7,3,0,4
117800,17in Happy 18th Birthday,37,0,0,37
117801,17in Happy 21st Birthday,26,1,0,25
117802,17in Happy 30th Birthday,18,0,0,18
117803,17in Happy 40th Birthday,42,1,0,41
117804,17in Happy 50th Birthday,60,1,0,59
117805,17in Happy 60th Birthday,31,1,0,30
117806,17in Happy 70th Birthday,25,0,0,25
117807,17in Get Well Soon Boy,20,0,0,20
117808,17in Get Well Soon Girl,17,0,0,17
117809,17in Happy Birthday Blue,12,0,0,12
117810,17in Happy Birthday Girl,22,1,0,21
12-100,Floral Order Pad 100 Sheets,315,0,0,315
120228,Stapler with Handle 16cmL Blue,0,0,0,0
120231,Staple Box 5000 PCS,41,0,0,41
120234,Full Strip Stapler 24/6 26/6,43,0,0,43
120235WH,White Chalkboard Pen Pack of 2,33,0,0,33
120238,Floral Foam Knife 38cm Yellow,1,0,0,1
121209BK,Flower Stand Eco 4-Tier Black,2,0,0,2
1212GR.262,ECO Paper Floral Tape,0,0,0,0
12133SI,48 Pins Diamante Teardrop 12mm,23,0,0,23
12152WH,Bead Garland Elegance White,0,0,0,0
12155SI,Crystal Royal Diamond Wire 4m,0,0,0,0
124005,9in Balloon It's Your Day!,165,0,0,165
124010,9in 4 Lil Snowmen Balloon,0,0,0,0
124011,9in Christmas Snowflake,0,0,0,0
124012,9in A Baby Boy Balloon,220,0,0,220
124013,9in A Baby Girl Balloon,142,0,0,142
124017,9in Emoticon Wink & Tongue,104,0,0,104
124018,9in Emoticon Heart Shape Eyes,186,0,0,186
124019,9in Emoticon Tears of Joy,116,0,0,116
124020,9in Emoticon Blushing Cheeks,169,0,0,169
124021,9in Emoticon Sunglasses,131,0,0,131
124022,9in Emoticon Grin Balloon,118,0,0,118
124026,9in Get Well Sun,0,0,0,0
124027,9in Emoticon Blowing Kiss Face,202,0,0,202
124031,9in Hang in There Monkey,125,0,0,125
124038,9in Beachball Balloon,109,0,0,109
124040,9in It's a Boy Dots Balloon,285,0,0,285
124042,9in It's a Girl Dots Balloon,179,0,0,179
124043,9in ILY Butterflies Balloon,99,0,0,99
124044,9in Smiling Santa,0,0,0,0
124045,9in Grad Rainbow Stripes,146,0,0,146
124048,9in Bounce Back Soon Miniloon,0,0,0,0
124049,9in Merry Xmas Santa & Rudolph,0,0,0,0
124051,9in HMD Flamingo Balloon,"2,803","2,200",0,603
124054,9in CTI SMILEY FACE BALLOON,"2,859",0,0,"2,859"
124055,9in Pastel Blue Smiley Balloon,0,0,0,0
124056,9in Lavender Smiley Balloon,0,0,0,0
124057,9in Pastel Pink Smiley,0,0,0,0
124058,9in Bounce Back Soon Sports,132,0,0,132
124063,9in GWS Chrysanthemum Balloon,355,0,0,355
124073,9in Brewster Get Well Balloon,164,3,0,161
124074,9in It's A Boy Baby Icons,0,0,0,0
124082,9in It's A Girl Baby Icons,646,0,0,646
124084,9in Soccer Ball Balloon,128,0,0,128
124089,9in Its Your Day Primary,98,0,0,98
124100,9in Happy Birthday Rose Gold,568,6,0,562
124101,9in Congratulations 3-D Stars,326,0,0,326
124108,9in Happy Birthday Gifts,229,0,0,229
124109,9in Happy Birthday Outer Space,224,0,0,224
124132,You're How Old Balloons,25,0,0,25
124133,HBD Party Elephant Balloon,147,0,0,147
124137,HBD Sparkling Candles Balloon,285,1,0,284
124161,9in Happy Easter 3 bunnies,100,0,0,100
124162,9in Get Well Bandaids Balloon,223,0,0,223
124177,9in HMD Butterflies & Stripes,124,0,0,124
124185,9in Happy Birthday Treat,"1,524",1,0,"1,523"
124186,9in Festive Birthday Blue,181,0,0,181
124196,9in BIRTHDAY HEARTS & SWIRLS,344,0,0,344
124198,9in Birthday Wish Emoticons,24,0,0,24
124199,9in Happy Bday Bunch Balloons,0,1,0,-1
124211,9in BIG BIRTHDAY BALLOONS,284,0,0,284
124273,9in Birthday Watercolor Star,0,0,0,0
124275,9in Bday Rainbow,0,0,0,0
124276,9in Birthday Black Balloon,225,0,0,225
124284,9in Congrats Red,0,0,0,0
124285,9in Good Luck Banner,0,0,0,0
124286,9in WELCOME HOME BALLOON,217,0,0,217
124287,9in Baby Shower Moon & Stars,0,0,0,0
124289,9in IT'S A GIRL MOON & STARS,508,0,0,508
124290,9in IT'S A BOY MOON & STARS,287,0,0,287
124292,9in To Brighten Your Day,0,0,0,0
124293,9in Bday Yellow Burst,0,0,0,0
124343,9in GET WELL SOON SMILEY,423,0,0,423
124344V,9in Smiling Santa Self Inflate,56,0,0,56
124366,9in Colorful Streamers Bday,507,0,0,507
124368,9in Beachball,0,0,0,0
124371,9in Grad Confetti Triangle,200,0,0,200
124380V,9in Get Well Colourful Bandaid,87,0,0,87
124381V,9in Get Well Soon Silver Burst,52,0,0,52
124414V,9in Yellow Smiley Face,75,0,0,75
124485,9in World's Greatest Dad,184,0,0,184
124491,9in Happy Birthday Star Burst,190,0,0,190
124497,9in Birthday Princess Balloon,185,0,0,185
124499,9in Baby Girl Bottles Balloon,357,0,0,357
124501,9in HMD Lavender Border & Swir,0,0,0,0
124502,9in YSS Hearts & Swirls,287,0,0,287
124503,9in Baby Boy Bottles Balloon,864,0,0,864
124504,9in Baby Girl Footsies Balloon,380,2,0,378
124505,9in Baby Boy Footsies Balloon,272,2,0,270
124506,9in Happy Easter Round Balloon,111,0,0,111
124507V,9in Baby Girl Bottles Balloon,96,0,0,96
124508V,9in Baby Boy Bottles Balloon,94,0,0,94
124509V,9in It's a Boy Stork Balloon,66,0,0,66
124510V,9in It's a Girl Stork Balloon,73,0,0,73
124511V,9in Thinking of You Sun & Star,47,0,0,47
124542V,9in Happy Birthday Glitters,108,0,0,108
124543,9in Congrats Stars Balloon,170,0,0,170
124544,9in Get Well Colourful Burst,298,0,0,298
124547,9in Get Well Dots & Swirls,577,0,0,577
124557,9in Get Well Nurse Bear,41,0,0,41
124563,9in Baby Boy Patchwork Balloon,55,0,0,55
124608,9in HBD PARTY HAT & HORN,"1,824",0,0,"1,824"
124610,9in GET WELL COLOURFUL TYPE,"1,026",0,0,"1,026"
124667,9in THANK YOU BURST BALLOON,172,0,0,172
124719,9in Happy Birthday Confetti,304,1,0,303
124803,9in Baby Boy Clouds,0,0,0,0
124804,9in Baby Girl Clouds,0,0,0,0
124826,9in Happy Birthday Fish Bowl S,0,0,0,0
124861,9in Happy Bday Balloon Release,409,0,0,409
124862,9in Monkey Around Birthday,305,0,0,305
125032,9in Get Well Party Balloons,132,0,0,132
125141,9in Tudes - Youre How Old,0,0,0,0
125556,9in Baby Balloon,226,6,0,220
125557,9in Birthday Balloons Red,197,0,0,197
125905,Pins Diamonte Head (1000pcs) C,0,0,0,0
126489.48,Corsage Pearl Bracelet Ivory,278,0,0,278
126489.93,Corsage Pearl Bracelet White,604,0,0,604
126493.48,Corsage Pearl Bracelet W/Patte,0,0,0,0
126496,Corsage Diamante Bracelet,37,0,0,37
126497,Corsage Diamante Bracelet x5 s,0,0,0,0
126498,Corsage Diamante Bracelet x 7,0,0,0,0
12681IV,Corsage Diamante Decal Pearl B,0,0,0,0
12682BK,Corsage Diamante Decal Pearl B,0,0,0,0
12682IV,Corsage Pearl Bracelet Ivory,159,0,0,159
12682PE,Corsage Pearl Bracelet White,101,0,0,101
12914SI,Diamante Mesh Roll Silver,6,0,0,6
13003.09,Glass Country Vase Conical 16.,0,0,0,0
13003.090,Glass Country Vase Conical 16.,0,0,0,0
13009.09x,Glass Country Cube 12x12x12cmH,0,0,0,0
13009.69,Glass Country Cube Frost Clear,0,0,0,0
13020.09,Vase Concaved Sided Clear,0,0,0,0
13020.69,Vase Concaved Sided Frost,27,0,0,27
13024.65,Glass Country Bud Frost Lime,0,0,0,0
13025CL,Hurricane Glass Jar w/Jute,90,0,0,90
13027CL,Hurricane Jar Clear Small,0,0,0,0
13029CL,Hurricane Jar Clear Large,143,0,0,143
13030.609,Glass Country Vase Violet,0,0,0,0
13030.644,Glass Country Bella Vase 12Dx2,0,0,0,0
13042,Posie Glass Vase 15x15x12.5,16,0,0,16
13043,Glass Hessian Flower Ball Vase,0,0,0,0
13047,Glass Hessian Flower Ball Vase,0,0,0,0
13060CL,Glass Ginger Vase 14x24cm Cl,311,0,0,311
13062CL,Glass Country Ginger Vase Line,17,0,0,17
13063CL,Cylinder Vase 8.5x24cm Clear,0,0,0,0
13064CL,Glass Footed Clear,0,0,0,0
13064WH,Glass Footed White,0,0,0,0
13065BL,Blue Cylinder Vase,0,0,0,0
13065CL,Coloured Cylinder 10x21.8cm Cl,0,0,0,0
13065GR,Green Cylinder vase,0,0,0,0
13065PI,Pink Cylinder Vase,0,0,0,0
1309001,Heart Deco Bottle 4pk,0,0,0,0
131117CL,Glass Candy Jar 7.5x12.5cm Cl,0,0,0,0
131120CL,Glass Milk Bottle 7Dx17.5cm Cl,0,0,0,0
131123CL,Bottle Large Clear,0,0,0,0
131124CL,Med Glass Bottle 13.5Dx27cm Cl,0,0,0,0
131129CL,Lrg Glass Bottle 14.5x25.5 Cl,0,0,0,0
131130CL,Bottle Celine  Clear,0,0,0,0
131133CL,Glass Flower Jug 14.8Dx19cm Cl,0,0,0,0
131134CL,Plant Holder 11.5TDx22cmH,0,0,0,0
131137GR,Mason Jar Mint Green,39,0,0,39
131137GY,Mason Jar Grey,61,0,0,61
131137WH,Mason Jar White,52,0,0,52
131138GR,Glass Milk Bottle Mint Green,0,0,0,0
131138GY,Glass Milk Bottle Village Gy,0,0,0,0
131138WH,Glass Milk Bottle Village Wh,0,0,0,0
131139GY,Cube Village Collection Grey,34,0,0,34
131139WH,Glass Cube White 12x12x12cmH,34,0,0,34
131149CL,Philo Leaf Posy Vase Clear,64,1,0,63
131151CL,Glass Leaf Cylinder Clear,407,0,0,407
131152CL,Glass Jar Small 8x9cmH Clear,0,0,0,0
1312027BL,Glass Ripple Flower Vase Blue,0,0,0,0
1312027GR,Glass Ripple Vase Green,0,0,0,0
1312027WH,Glass Ripple Vase White,0,0,0,0
1312029CL,Glass Fish Bowl Vase Clear,0,0,0,0
1312032CL,Glass Diagonal Cut Round Vase,0,0,0,0
1312040CL,Geo Glass Vase 17x21cm Cl,0,0,0,0
1312043CL,Geo Fish Bowl 18Dx15.5 Cl,0,0,0,0
1312045CL,Geo Fish Bowl 18.5Dx17.5 Cl,0,0,0,0
1312047CL,Mesh Watering Can with Vase,0,0,0,0
1312048CL,Mesh Teapot with Vase,0,0,0,0
1312049CL,Bernice Vase Conical Clear,151,0,0,151
1312053BK,Geometric Terrarium Pyramid,36,0,0,36
1312054BK,Terrarium Pyramid Black,46,0,0,46
1312059CL,Bernice Vase Conical Clear,112,0,0,112
1312081CL,Angela Vase Clear,88,0,0,88
1312085SMO,Glass Harper Squat Dome Vase L,11,2,0,9
1312086CL,Ann Bottle Large Clear,97,0,0,97
1312086SGR,Glass Ann Bottle Large Spanish,0,0,0,0
1312088CL,Glass Ann Posy Bottle Clear (1,123,0,0,123
1312088SGR,Ann Posy Bottle Spanish Green,216,22,0,194
1312089CL,Venessa Bottle Clear,96,0,0,96
1312090CL,Isabella Cylinder Vase,0,0,0,0
1312091CL,Isabella Cylinder Vase Clear,11,2,0,9
1312092CL,Glass Angelina Fish Bowl Clear,15,0,0,15
1312095CL,Yvonne Cylinder Vase Clear,44,0,0,44
1312098CL,Angela Vase Clear (11.5x20cmH),69,0,0,69
1312105LGR,Elsa Bud Vase Sage (6.5x22cmH),0,0,0,0
1312105LPK,Elsa Bud Vase Pink (6.5x22cmH),0,0,0,0
1312122CL,Shirley Vase 14Dx14cmH,33,0,0,33
1312123CL,Claire Vase 11.5Dx26.5cmH,54,0,0,54
1312124CL,Harlow Vase Clear 11Dx16cmH,77,0,0,77
1312125CL,Ollie Vase Clear (16Dx25cmH),0,0,0,0
1312126GRY,Fresh Cut Grey Jar,65,0,0,65
1312126LG,Fresh Cut Light Green Jar,89,0,0,89
1312126PK,Fresh Cut Pink Jar,95,6,0,89
1312126WH,Fresh Cut White Jar,87,0,0,87
1312132CL,Glass Fish Bowl 10Dx14.5cmH,19,0,0,19
1317,Glass Marbles 13mm 500pc Clear,23,0,0,23
132055.3,Glass Martini 16Dx30cmH Clear,0,0,0,0
134008,Glass Votive Candle Holder W/,0,0,0,0
134803,24in Baby Boy Clouds Clear,15,0,0,15
134804,24in Baby Girl Clouds Clear,5,0,0,5
134805,24in Feel Better Fish Clear,11,0,0,11
134806,24in GW Birds & Butterflies,1,0,0,1
136006CL,Glass Fish Bowl 13.5Dx22cm Cl,0,0,0,0
136017CL,Glass Squat Dome Vase Clear,25,0,0,25
136019CL,Glass Squat Dome Vase Large,0,0,0,0
137-06-04,Holly Chapple Abby Compote,23,0,0,23
137-06-09,Holly Chapple Abby Compote Clr,65,0,0,65
137-06-22,Holly Chapple Abby Compote,29,0,0,29
1414BK,Plastic Posie Box Black,148,0,0,148
1414PI,Plastic Posie Box Pink,22,0,0,22
1414RE,Plastic Posie Box   RED,0,0,0,0
1414VI,Plastic Posie Box 14x10cmH Vi,0,0,0,0
144001,4.5in Blowing Kiss Face,158,0,0,158
144002,4.5in Smile Wink and Tongue,84,0,0,84
144003,4.5in Smile Heart Shape Eyes,133,0,0,133
144004,4.5in Emoticon Smile Sunglasse,104,0,0,104
144005,4.5in Balloon It's Your Day!,108,0,0,108
144054,4.5in SMILEY FACE BALLOON,170,0,0,170
144162,4.5in Get Well Bandaids,68,0,0,68
144289,4.5in ITS A GIRL BALLOON,107,0,0,107
144290,4.5in IT'S A BOY BALLOON,128,0,0,128
144366,4.5in HBD COLOURFUL STREAMERS,212,0,0,212
144499,4.5in Congrats Star Burst Card,0,0,0,0
144608,4.5in HBD PARTY HAT & HORN,214,0,0,214
144610,4.5in GET WELL SOON COLOUR,51,0,0,51
144861,4.5in HBD Balloon Release,189,0,0,189
144862,4.5in Birthday Monkey Around,69,0,0,69
14901SGO,Posie Box Mini Holly Gold,0,0,0,0
